Date,Team1,Team2,Map,Event
4/7/19,Redemption POA (2),Isurus (16),"inf
                      Inferno",Brasil Game Show 2019
3/7/19,FURIA (14),Natus Vincere (16),"ovp
                      Overpass",ESL One Cologne 2019
3/7/19,Natus Vincere (16),FURIA (12),"nuke
                      Nuke",ESL One Cologne 2019
3/7/19,Heroic (10),NiP (16),"inf
                      Inferno",ESL One Cologne 2019
3/7/19,NiP (16),Heroic (5),"ovp
                      Overpass",ESL One Cologne 2019
3/7/19,mousesports (16),FaZe (8),"mrg
                      Mirage",ESL One Cologne 2019
3/7/19,FaZe (15),mousesports (19),"inf
                      Inferno",ESL One Cologne 2019
3/7/19,fnatic (6),Astralis (16),"nuke
                      Nuke",ESL One Cologne 2019
3/7/19,Astralis (16),fnatic (1),"trn
                      Train",ESL One Cologne 2019
3/7/19,MIBR (16),BIG (19),"trn
                      Train",ESL One Cologne 2019
3/7/19,BIG (7),MIBR (16),"ovp
                      Overpass",ESL One Cologne 2019
3/7/19,MIBR (11),BIG (16),"d2
                      Dust2",ESL One Cologne 2019
3/7/19,Vitality (16),ENCE (9),"inf
                      Inferno",ESL One Cologne 2019
3/7/19,Vitality (12),ENCE (16),"nuke
                      Nuke",ESL One Cologne 2019
3/7/19,ENCE (9),Vitality (16),"ovp
                      Overpass",ESL One Cologne 2019
3/7/19,MDL All-Star Katie (16),MDL All-Star gMd (12),"mrg
                      Mirage",ESEA MDL Season 31 North America All-Star Game
3/7/19,MDL All-Star gMd (14),MDL All-Star Katie (16),"ovp
                      Overpass",ESEA MDL Season 31 North America All-Star Game
3/7/19,Jaguar (16),NONAME (7),"inf
                      Inferno",AMD Red League Northern Cone 2019
2/7/19,Bulldozer (16),Santos (14),"mrg
                      Mirage",Brasil Game Show 2019
2/7/19,EOX (16),Keyd (4),"inf
                      Inferno",Brasil Game Show 2019
2/7/19,Redemption POA (13),W7M (16),"inf
                      Inferno",Brasil Game Show 2019
2/7/19,FaZe (12),NRG (16),"ovp
                      Overpass",ESL One Cologne 2019
2/7/19,NRG (16),FaZe (11),"mrg
                      Mirage",ESL One Cologne 2019
2/7/19,FURIA (16),Renegades (12),"mrg
                      Mirage",ESL One Cologne 2019
2/7/19,Renegades (9),FURIA (16),"nuke
                      Nuke",ESL One Cologne 2019
2/7/19,Natus Vincere (8),Liquid (16),"mrg
                      Mirage",ESL One Cologne 2019
2/7/19,Natus Vincere (16),Liquid (14),"ovp
                      Overpass",ESL One Cologne 2019
2/7/19,Natus Vincere (19),Liquid (22),"d2
                      Dust2",ESL One Cologne 2019
2/7/19,MVP PK (6),mousesports (16),"inf
                      Inferno",ESL One Cologne 2019
2/7/19,mousesports (16),MVP PK (8),"vtg
                      Vertigo",ESL One Cologne 2019
2/7/19,Vitality (10),NiP (16),"d2
                      Dust2",ESL One Cologne 2019
2/7/19,Heroic (16),ENCE (10),"mrg
                      Mirage",ESL One Cologne 2019
2/7/19,fnatic (16),MIBR (11),"inf
                      Inferno",ESL One Cologne 2019
2/7/19,Astralis (16),BIG (4),"ovp
                      Overpass",ESL One Cologne 2019
2/7/19,FaZe (16),Renegades (14),"mrg
                      Mirage",ESL One Cologne 2019
2/7/19,NRG (16),FURIA (7),"nuke
                      Nuke",ESL One Cologne 2019
2/7/19,Liquid (16),MVP PK (14),"nuke
                      Nuke",ESL One Cologne 2019
2/7/19,mousesports (14),Natus Vincere (16),"trn
                      Train",ESL One Cologne 2019
2/7/19,Divine Soldiers (9),Anunnaki (16),"inf
                      Inferno",AMD Red League Northern Cone 2019
2/7/19,Infinity (16),DStreet (3),"inf
                      Inferno",AMD Red League Northern Cone 2019
2/7/19,Lazarus (16),New Identity (8),"d2
                      Dust2",WINNERS League Season 2 North America
2/7/19,New Identity (13),Lazarus (16),"mrg
                      Mirage",WINNERS League Season 2 North America
2/7/19,New Identity (19),Lazarus (16),"ovp
                      Overpass",WINNERS League Season 2 North America
1/7/19,Nemiga (16),Epsilon (19),"ovp
                      Overpass",LOOT.BET Smack My Beach Cup
1/7/19,Epsilon (16),Nemiga (6),"inf
                      Inferno",LOOT.BET Smack My Beach Cup
1/7/19,NoChance (16),Ancient (7),"d2
                      Dust2",UCC Summer Smash
1/7/19,NoChance (19),Ancient (17),"trn
                      Train",UCC Summer Smash
1/7/19,forZe (16),Aristocracy (14),"nuke
                      Nuke",LOOT.BET Smack My Beach Cup
1/7/19,forZe (9),Aristocracy (16),"trn
                      Train",LOOT.BET Smack My Beach Cup
1/7/19,Aristocracy (20),forZe (22),"mrg
                      Mirage",LOOT.BET Smack My Beach Cup
1/7/19,Nordavind (16),NoChance (10),"vtg
                      Vertigo",UCC Summer Smash
1/7/19,Nordavind (16),NoChance (14),"inf
                      Inferno",UCC Summer Smash
1/7/19,Lazarus (16),ATK (6),"mrg
                      Mirage",WINNERS League Season 2 North America
1/7/19,Lazarus (16),ATK (6),"d2
                      Dust2",WINNERS League Season 2 North America
1/7/19,paiN (19),DETONA (16),"inf
                      Inferno",Gamers Club Masters III
1/7/19,DETONA (16),paiN (11),"d2
                      Dust2",Gamers Club Masters III
1/7/19,DETONA (11),paiN (16),"nuke
                      Nuke",Gamers Club Masters III
30/6/19,DreamEaters (7),Copenhagen Flames (16),"ovp
                      Overpass",LOOT.BET Smack My Beach Cup
30/6/19,Copenhagen Flames (16),DreamEaters (10),"inf
                      Inferno",LOOT.BET Smack My Beach Cup
30/6/19,Bushido Boyz (16),Big Frames (14),"d2
                      Dust2",GEXCon 2019 - NCS Major
30/6/19,Big Frames (11),Bushido Boyz (16),"nuke
                      Nuke",GEXCon 2019 - NCS Major
30/6/19,BLUEJAYS (8),DreamEaters (16),"inf
                      Inferno",LOOT.BET Smack My Beach Cup
30/6/19,BLUEJAYS (17),DreamEaters (19),"vtg
                      Vertigo",LOOT.BET Smack My Beach Cup
30/6/19,DreamEaters (9),BLUEJAYS (16),"mrg
                      Mirage",LOOT.BET Smack My Beach Cup
30/6/19,NoChance (7),Tricked (16),"nuke
                      Nuke",Good Game League 2019 Closed Qualifier
30/6/19,NoChance (16),Tricked (14),"d2
                      Dust2",Good Game League 2019 Closed Qualifier
30/6/19,Tricked (16),NoChance (13),"trn
                      Train",Good Game League 2019 Closed Qualifier
30/6/19,Nemiga (16),forZe (12),"inf
                      Inferno",Kalashnikov Cup Season 2
30/6/19,forZe (12),Nemiga (16),"nuke
                      Nuke",Kalashnikov Cup Season 2
30/6/19,forZe (16),Nemiga (13),"mrg
                      Mirage",Kalashnikov Cup Season 2
30/6/19,The Home of the Grave (11),Big Frames (16),"d2
                      Dust2",GEXCon 2019 - NCS Major
30/6/19,The Home of the Grave (9),Big Frames (16),"mrg
                      Mirage",GEXCon 2019 - NCS Major
30/6/19,Copenhagen Flames (14),Epsilon (16),"inf
                      Inferno",LOOT.BET Smack My Beach Cup
30/6/19,Epsilon (16),Copenhagen Flames (7),"ovp
                      Overpass",LOOT.BET Smack My Beach Cup
30/6/19,Entity (4),Signify (16),"inf
                      Inferno",ESL India Premiership 2019 Summer Finals
30/6/19,Entity (6),Signify (16),"ovp
                      Overpass",ESL India Premiership 2019 Summer Finals
30/6/19,NoChance (16),ALTERNATE aTTaX (6),"d2
                      Dust2",Good Game League 2019 Closed Qualifier
30/6/19,NoChance (16),ALTERNATE aTTaX (14),"trn
                      Train",Good Game League 2019 Closed Qualifier
30/6/19,Izako Boars (4),Tricked (16),"mrg
                      Mirage",Good Game League 2019 Closed Qualifier
30/6/19,Tricked (10),Izako Boars (16),"inf
                      Inferno",Good Game League 2019 Closed Qualifier
30/6/19,Izako Boars (11),Tricked (16),"ovp
                      Overpass",Good Game League 2019 Closed Qualifier
30/6/19,Rhein Neckar (16),WarKidZ (7),"mrg
                      Mirage",alpenScene Premiership Season 3 Finals
30/6/19,WarKidZ (10),Rhein Neckar (16),"inf
                      Inferno",alpenScene Premiership Season 3 Finals
30/6/19,Epsilon (16),BLUEJAYS (1),"inf
                      Inferno",LOOT.BET Smack My Beach Cup
30/6/19,BLUEJAYS (13),Epsilon (16),"mrg
                      Mirage",LOOT.BET Smack My Beach Cup
30/6/19,Epsilon (8),BLUEJAYS (16),"nuke
                      Nuke",LOOT.BET Smack My Beach Cup
30/6/19,Entity (16),Wings (1),"trn
                      Train",ESL India Premiership 2019 Summer Finals
30/6/19,Entity (19),Wings (17),"mrg
                      Mirage",ESL India Premiership 2019 Summer Finals
30/6/19,WarKidZ (16),plan-B (10),"nuke
                      Nuke",alpenScene Premiership Season 3 Finals
30/6/19,plan-B (16),WarKidZ (14),"d2
                      Dust2",alpenScene Premiership Season 3 Finals
30/6/19,WarKidZ (19),plan-B (17),"inf
                      Inferno",alpenScene Premiership Season 3 Finals
30/6/19,Global (7),Signify (16),"trn
                      Train",ESL India Premiership 2019 Summer Finals
30/6/19,Global (7),Signify (16),"inf
                      Inferno",ESL India Premiership 2019 Summer Finals
30/6/19,Thunder Logic (9),Bushido Boyz (16),"d2
                      Dust2",GEXCon 2019 - NCS Major
30/6/19,Bushido Boyz (16),Thunder Logic (14),"inf
                      Inferno",GEXCon 2019 - NCS Major
30/6/19,Bushido Boyz (7),Thunder Logic (16),"ovp
                      Overpass",GEXCon 2019 - NCS Major
30/6/19,paiN (16),W7M (4),"trn
                      Train",Gamers Club Masters III
30/6/19,W7M (8),paiN (16),"inf
                      Inferno",Gamers Club Masters III
29/6/19,Aviato (8),WarKidZ (16),"nuke
                      Nuke",alpenScene Premiership Season 3 Finals
29/6/19,WarKidZ (17),Aviato (19),"d2
                      Dust2",alpenScene Premiership Season 3 Finals
29/6/19,WarKidZ (16),Aviato (5),"inf
                      Inferno",alpenScene Premiership Season 3 Finals
29/6/19,Northeast Mayhem (8),Bushido Boyz (16),"d2
                      Dust2",GEXCon 2019 - NCS Major
29/6/19,Bushido Boyz (11),Northeast Mayhem (16),"mrg
                      Mirage",GEXCon 2019 - NCS Major
29/6/19,Bushido Boyz (16),Northeast Mayhem (11),"nuke
                      Nuke",GEXCon 2019 - NCS Major
29/6/19,Thunder Logic (16),Hollywood's Hooligans (4),"inf
                      Inferno",GEXCon 2019 - NCS Major
29/6/19,Hollywood's Hooligans (11),Thunder Logic (16),"ovp
                      Overpass",GEXCon 2019 - NCS Major
29/6/19,Big Frames (16),Ascent (10),"mrg
                      Mirage",GEXCon 2019 - NCS Major
29/6/19,Big Frames (16),Ascent (8),"inf
                      Inferno",GEXCon 2019 - NCS Major
29/6/19,Eco Fraggers Anonymous (7),The Home of the Grave (16),"trn
                      Train",GEXCon 2019 - NCS Major
29/6/19,Eco Fraggers Anonymous (8),The Home of the Grave (16),"mrg
                      Mirage",GEXCon 2019 - NCS Major
29/6/19,The Home of the Grave (9),Eco Fraggers Anonymous (16),"nuke
                      Nuke",GEXCon 2019 - NCS Major
29/6/19,DETONA (16),Keyd (6),"mrg
                      Mirage",Gamers Club Masters III
29/6/19,DETONA (16),Keyd (12),"inf
                      Inferno",Gamers Club Masters III
29/6/19,forZe (16),Heroic (12),"nuke
                      Nuke",GG.BET Chicago Invitational - IEM Chicago 2019 Qualifier
29/6/19,Heroic (28),forZe (26),"ovp
                      Overpass",GG.BET Chicago Invitational - IEM Chicago 2019 Qualifier
29/6/19,forZe (16),Heroic (11),"inf
                      Inferno",GG.BET Chicago Invitational - IEM Chicago 2019 Qualifier
29/6/19,plan-B (10),Rhein Neckar (16),"ovp
                      Overpass",alpenScene Premiership Season 3 Finals
29/6/19,plan-B (11),Rhein Neckar (16),"mrg
                      Mirage",alpenScene Premiership Season 3 Finals
29/6/19,plan-B (16),Rhein Neckar (14),"inf
                      Inferno",alpenScene Premiership Season 3 Finals
29/6/19,Izako Boars (16),PACT (13),"ovp
                      Overpass",Good Game League 2019 Closed Qualifier
29/6/19,PACT (10),Izako Boars (16),"trn
                      Train",Good Game League 2019 Closed Qualifier
29/6/19,NoChance (19),Movistar Riders (17),"nuke
                      Nuke",Good Game League 2019 Closed Qualifier
29/6/19,NoChance (16),Movistar Riders (14),"inf
                      Inferno",Good Game League 2019 Closed Qualifier
29/6/19,Warriors (11),ALTERNATE aTTaX (16),"ovp
                      Overpass",Good Game League 2019 Closed Qualifier
29/6/19,ALTERNATE aTTaX (16),Warriors (12),"mrg
                      Mirage",Good Game League 2019 Closed Qualifier
29/6/19,Dracarys (6),Tricked (16),"trn
                      Train",Good Game League 2019 Closed Qualifier
29/6/19,Tricked (19),Dracarys (15),"mrg
                      Mirage",Good Game League 2019 Closed Qualifier
29/6/19,OpTic (15),forZe (19),"trn
                      Train",GG.BET Chicago Invitational - IEM Chicago 2019 Qualifier
29/6/19,forZe (16),OpTic (14),"mrg
                      Mirage",GG.BET Chicago Invitational - IEM Chicago 2019 Qualifier
29/6/19,DreamEaters (17),Copenhagen Flames (19),"vtg
                      Vertigo",LOOT.BET Smack My Beach Cup
29/6/19,Copenhagen Flames (19),DreamEaters (22),"inf
                      Inferno",LOOT.BET Smack My Beach Cup
29/6/19,DreamEaters (12),Copenhagen Flames (16),"ovp
                      Overpass",LOOT.BET Smack My Beach Cup
29/6/19,BLUEJAYS (7),Dracarys (16),"inf
                      Inferno",Good Game League 2019 Closed Qualifier
29/6/19,BLUEJAYS (5),Dracarys (16),"mrg
                      Mirage",Good Game League 2019 Closed Qualifier
29/6/19,Izako Boars (16),OFFSET (13),"vtg
                      Vertigo",Good Game League 2019 Closed Qualifier
29/6/19,OFFSET (19),Izako Boars (22),"inf
                      Inferno",Good Game League 2019 Closed Qualifier
29/6/19,Movistar Riders (16),piratesports (12),"inf
                      Inferno",Good Game League 2019 Closed Qualifier
29/6/19,piratesports (7),Movistar Riders (16),"mrg
                      Mirage",Good Game League 2019 Closed Qualifier
29/6/19,plan-B (16),WarKidZ (5),"inf
                      Inferno",alpenScene Premiership Season 3 Finals
29/6/19,plan-B (19),WarKidZ (16),"d2
                      Dust2",alpenScene Premiership Season 3 Finals
29/6/19,WarKidZ (16),plan-B (10),"nuke
                      Nuke",alpenScene Premiership Season 3 Finals
29/6/19,Heroic (16),Windigo (13),"ovp
                      Overpass",GG.BET Chicago Invitational - IEM Chicago 2019 Qualifier
29/6/19,Heroic (16),Windigo (12),"mrg
                      Mirage",GG.BET Chicago Invitational - IEM Chicago 2019 Qualifier
29/6/19,Aviato (13),Rhein Neckar (16),"mrg
                      Mirage",alpenScene Premiership Season 3 Finals
29/6/19,Aviato (4),Rhein Neckar (16),"d2
                      Dust2",alpenScene Premiership Season 3 Finals
29/6/19,Malvinas (16),9z (12),"inf
                      Inferno",AMD Red League Southern Cone 2019
29/6/19,Malvinas (16),9z (7),"ovp
                      Overpass",AMD Red League Southern Cone 2019
29/6/19,INTZ.Academy (6),Keyd (16),"nuke
                      Nuke",Gamers Club Masters III
29/6/19,Keyd (16),INTZ.Academy (9),"d2
                      Dust2",Gamers Club Masters III
28/6/19,HellRaisers (8),Windigo (16),"mrg
                      Mirage",GG.BET Chicago Invitational - IEM Chicago 2019 Qualifier
28/6/19,HellRaisers (8),Windigo (16),"inf
                      Inferno",GG.BET Chicago Invitational - IEM Chicago 2019 Qualifier
28/6/19,Windigo (11),HellRaisers (16),"d2
                      Dust2",GG.BET Chicago Invitational - IEM Chicago 2019 Qualifier
28/6/19,paiN (16),Reapers (13),"inf
                      Inferno",Gamers Club Masters III
28/6/19,paiN (11),Reapers (16),"mrg
                      Mirage",Gamers Club Masters III
28/6/19,Reapers (13),paiN (16),"ovp
                      Overpass",Gamers Club Masters III
28/6/19,Nordavind (11),Windigo (16),"nuke
                      Nuke",GG.BET Chicago Invitational - IEM Chicago 2019 Qualifier
28/6/19,Windigo (16),Nordavind (14),"mrg
                      Mirage",GG.BET Chicago Invitational - IEM Chicago 2019 Qualifier
28/6/19,Nordavind (16),Windigo (14),"ovp
                      Overpass",GG.BET Chicago Invitational - IEM Chicago 2019 Qualifier
28/6/19,AGO (16),Izako Boars (11),"inf
                      Inferno",GameAgents League Season 3
